Word,Coefficient
magnanakaw,13.778315640678226
chingchong,6.353297547925995
duwag,5.998640275115397
dugyot,5.392099877439369
bumbay,5.3110350759090705
mar,5.001299069817258
nigga,4.915748802592243
bobo,4.913192813120601
chekwa,4.905980684250866
sayad,4.69702718938489
dilaw,4.249622452439695
saltik,4.0714905219869
tanga,3.798719087263342
bisakol,3.5972689950956727
kupal,3.5838149088454476
ching,3.5726985528950914
squammy,3.544341640604382
pakyu,3.534357440970228
amoy,3.4548208887291425
utak,3.4436577178833043
mo,3.347413070906897
chong,3.2664384435872487
posas,3.2554998511457742
tangina,3.2517722128473197
never,3.248310934041636
desperate,3.2315463881038378
buwaya,3.201675365492143
squatter,3.165236112610374
burikat,3.1528492517776514
salot,3.1409141112118646
mukha,3.0829661029546815
maligno,3.041777645798804
bading,3.007430718291408
mukhang,2.839098922119568
ina,2.735020101578931
mamatay,2.6526000956385025
yan,2.619005829230431
lutang,2.553503752753025
kadiri,2.5168308382701503
unano,2.5066037359855464
puro,2.495092879625196
ulo,2.4795029360651575
basura,2.4704449040530334
sinungaling,2.447218206972237
katulong,2.4424112354562557
duterte,2.4350268336771124
bobong,2.4259308809148212
unithieves,2.4143678381493356
shut,2.3898713687856996
putangina,2.3835027123910972
demonyo,2.3540254540812127
dayaang,2.3066138562789145
kayo,2.3005757658637775
bbm,2.274114726666606
umay,2.245655052170039
si,2.1864533184274597
nyo,2.1648237054721506
fuck,2.1500950633235165
lugaw,2.1404292799482674
kang,2.1397996095923633
masahol,2.083418376683386
tang,2.0719502693934393
mong,2.0650406789589137
mmk,2.0020981532809827
panget,1.9918849756665693
mata,1.9910444295356178
skwater,1.9908859892233994
patayin,1.9888909783599533
pinklawan,1.9876653175714074
yuck,1.9853492170551144
talo,1.9816685027310856
layas,1.9734992320285294
lol,1.9684490036473452
kakampwet,1.9524759523327706
tong,1.9394633425471837
negro,1.932517256523555
bombay,1.9285408547274876
retard,1.924954007058507
yang,1.895747412965628
ulol,1.8860921741800905
puta,1.8822471208645117
putok,1.857816622265847
ikaw,1.8453238613879743
hayop,1.8144777956988114
desperado,1.8083286998320458
kulay,1.7920841261507554
intsik,1.7906609111137224
baboy,1.78080460176883
cbn,1.7803479015925798
walis,1.7768595428289164
buying,1.7728537897380399
unlike,1.7286932834549054
anghit,1.7279017629174702
disgrace,1.7069166854130131
nya,1.6964112700264657
dictator,1.665356914305833
kayong,1.6594431098972622
kapal,1.6586945109550917
walang,1.6451586965398273
stupid,1.6449230181719252
